index,gender,yearRed,name,countRed,yearBlue,countBlue,Red,Blue,Red_Blue_2012
0,F,2012.0,Emma,8187.0,2012.0,12758.0,R,B,R & B
2,F,2012.0,Sophia,7492.0,2012.0,14821.0,R,B,R & B
5,F,2012.0,Isabella,6583.0,2012.0,12516.0,R,B,R & B
8,F,2012.0,Olivia,6139.0,2012.0,11177.0,R,B,R & B
11,F,2012.0,Ava,5908.0,2012.0,9625.0,R,B,R & B
15,F,2012.0,Abigail,4878.0,2012.0,7822.0,R,B,R & B
16,F,2012.0,Emily,4701.0,2012.0,8948.0,R,B,R & B
17,F,2012.0,Madison,4540.0,2012.0,6857.0,R,B,R & B
18,F,2012.0,Elizabeth,4073.0,0.0,0.0,R,,R
19,F,2012.0,Mia,3973.0,2012.0,8050.0,R,B,R & B
24,F,0.0,Chloe,0.0,2012.0,5718.0,,B,B
